Complaint ID,Product
2387116,Credit card
9276555,Credit card
9432460,Credit card
9065219,Credit card
9939330,Credit card
9939330,Credit card
9748319,Credit card
10764117,Credit card
13533384,Credit card
13533384,Credit card
1818331,Credit card
10885906,Credit card
11615687,Credit card
2062339,Credit card
2062339,Credit card
2170152,Credit card
2170152,Credit card
2170152,Credit card
9940130,Credit card
10847699,Credit card
9569710,Credit card
9569710,Credit card
10838920,Credit card
7573892,Credit card
7573892,Credit card
1682287,Credit card
7722246,Credit card
7722246,Credit card
7814390,Credit card
7768295,Credit card
9932156,Credit card
12888110,Credit card
8884874,Credit card
8884874,Credit card
2042788,Credit card
7622064,Credit card
12371314,Credit card
8243248,Credit card
12162866,Credit card
11966887,Credit card
8625590,Credit card
12422234,Credit card
12380509,Credit card
12380509,Credit card
8206677,Credit card
8206677,Credit card
10639504,Credit card
10639504,Credit card
8775659,Credit card
1821992,Credit card
8557035,Credit card
1763495,Credit card
12392676,Credit card
1946784,Credit card
1946784,Credit card
1946784,Credit card
8977358,Credit card
1536939,Credit card
12263826,Credit card
12263826,Credit card
7599499,Credit card
9146566,Credit card
9146566,Credit card
9146566,Credit card
9267191,Credit card
2290418,Credit card
12437662,Credit card
12437662,Credit card
9460653,Credit card
7638437,Credit card
8612115,Credit card
8371171,Credit card
12614807,Credit card
12614807,Credit card
10346564,Credit card
10789064,Credit card
2229236,Credit card
2229236,Credit card
1389251,Credit card
8162362,Credit card
8192139,Credit card
8192139,Credit card
8637144,Credit card
12245466,Credit card
11731143,Credit card
9523874,Credit card
9352372,Credit card
1561554,Credit card
1591707,Credit card
7553467,Credit card
11696709,Credit card
8126284,Credit card
2040683,Credit card
8791630,Credit card
2439353,Credit card
12997168,Credit card
7543209,Credit card
7543209,Credit card
10988183,Credit card
8631229,Credit card
2100358,Credit card
10767587,Credit card
13260097,Credit card
13260097,Credit card
7903646,Credit card
10313807,Credit card
10313807,Credit card
10313807,Credit card
1741262,Credit card
9261917,Credit card
9479085,Credit card
11702760,Credit card
9938712,Credit card
11557227,Credit card
1977556,Credit card
12468153,Credit card
12843561,Credit card
12843561,Credit card
12843561,Credit card
1441892,Credit card
9929489,Credit card
2247672,Credit card
2247672,Credit card
2385107,Credit card
9142128,Credit card
2210657,Credit card
2210657,Credit card
11424438,Credit card
1542345,Credit card
1542345,Credit card
2049666,Credit card
10863007,Credit card
12096105,Credit card
2380204,Credit card
1948030,Credit card
12325131,Credit card
11035840,Credit card
11035840,Credit card
7802743,Credit card
7533507,Credit card
10361731,Credit card
1389183,Credit card
9704118,Credit card
9704118,Credit card
9019193,Credit card
11410157,Credit card
10697883,Credit card
9391308,Credit card
9315415,Credit card
1376847,Credit card
8812750,Credit card
2373725,Credit card
8525166,Credit card
10290601,Credit card
8239331,Credit card
8239331,Credit card
8239331,Credit card
8070718,Credit card
7625172,Credit card
1792459,Credit card
9565689,Credit card
8811037,Credit card
8288161,Credit card
12611027,Credit card
8646702,Credit card
8175186,Credit card
11359533,Credit card
8475672,Credit card
8475672,Credit card
8475672,Credit card
9127886,Credit card
2275840,Credit card
2275840,Credit card
2275840,Credit card
7586689,Credit card
7586689,Credit card
2047611,Credit card
2047611,Credit card
2047611,Credit card
11355335,Credit card
9223726,Credit card
9223726,Credit card
12694078,Credit card
12694078,Credit card
1645508,Credit card
2316185,Credit card
2316185,Credit card
7474623,Credit card
7753796,Credit card
7753796,Credit card
7753796,Credit card
8070509,Credit card
7971346,Credit card
7971346,Credit card
7971346,Credit card
11069081,Credit card
1835900,Credit card
1835900,Credit card
1835900,Credit card
11306013,Credit card
7849887,Credit card
11777415,Credit card
11886487,Credit card
11886487,Credit card
2031795,Credit card
7781559,Credit card
7781559,Credit card
8215302,Credit card
11322602,Credit card
8588671,Credit card
8222361,Credit card
9452833,Credit card
10777017,Credit card
8662723,Credit card
8662723,Credit card
10117539,Credit card
10117539,Credit card
10117539,Credit card
13740589,Credit card
